"시도별(17개)","규모별","산업분류별","시점","현원[명]","구인인원[명]","채용인원[명]","미충원인원[명]","부족인원[명]","채용계획인원[명]","부족률[%]",
"전국","5규모(300인이상)","전산업","2024. 1/2","2903148","196858","185043","11815","44461","48625","1.5",
"전국","5규모(300인이상)","전산업","2024. 2/2","2915407","169245","153566","15679","47790","52219","1.6",
"전국","5규모(300인이상)","BC 광공업 (05-34)","2024. 1/2","752199","18589","16899","1690","7127","7523",".9",
"전국","5규모(300인이상)","BC 광공업 (05-34)","2024. 2/2","757998","18155","16690","1465","6053","6445",".8",
"전국","5규모(300인이상)","B.광업(05~08)","2024. 1/2","1496","5","5","0","8","8",".5",
"전국","5규모(300인이상)","B.광업(05~08)","2024. 2/2","1595","12","12","0","29","29","1.8",
"전국","5규모(300인이상)","B05 석탄, 원유 및 천연가스 광업","2024. 1/2","868","5","5","0","0","0","0",
"전국","5규모(300인이상)","B05 석탄, 원유 및 천연가스 광업","2024. 2/2","964","12","12","0","0","0","0",
"전국","5규모(300인이상)","B06 금속 광업","2024. 1/2","0","0","0","0","0","0","0",
"전국","5규모(300인이상)","B06 금속 광업","2024. 2/2","0","0","0","0","0","0","0",
"전국","5규모(300인이상)","B07 비금속광물 광업; 연료용 제외","2024. 1/2","0","0","0","0","0","0","0",
"전국","5규모(300인이상)","B07 비금속광물 광업; 연료용 제외","2024. 2/2","0","0","0","0","0","0","0",
"전국","5규모(300인이상)","B08 광업 지원 서비스업","2024. 1/2","628","0","0","0","8","8","1.3",
"전국","5규모(300인이상)","B08 광업 지원 서비스업","2024. 2/2","632","0","0","0","29","29","4.4",
"전국","5규모(300인이상)","C.제조업(10~34)","2024. 1/2","750703","18584","16894","1690","7119","7515",".9",
"전국","5규모(300인이상)","C.제조업(10~34)","2024. 2/2","756403","18143","16679","1464","6025","6417",".8",
"전국","5규모(300인이상)","C10 식료품 제조업","2024. 1/2","26821","1350","1009","341","678","722","2.5",
"전국","5규모(300인이상)","C10 식료품 제조업","2024. 2/2","27247","2579","2273","306","887","930","3.2",
"전국","5규모(300인이상)","C11 음료 제조업","2024. 1/2","3954","145","97","48","69","69","1.7",
"전국","5규모(300인이상)","C11 음료 제조업","2024. 2/2","4369","159","116","43","61","61","1.4",
"전국","5규모(300인이상)","C12 담배 제조업","2024. 1/2","2128","10","10","0","10","10",".5",
"전국","5규모(300인이상)","C12 담배 제조업","2024. 2/2","2122","23","23","0","2","2",".1",
"전국","5규모(300인이상)","C13 섬유제품 제조업; 의복 제외","2024. 1/2","2040","28","14","14","19","17",".9",
"전국","5규모(300인이상)","C13 섬유제품 제조업; 의복 제외","2024. 2/2","2032","29","16","13","33","18","1.6",
"전국","5규모(300인이상)","C14 의복, 의복 액세서리 및 모피제품 제조업","2024. 1/2","4849","237","205","32","78","78","1.6",
"전국","5규모(300인이상)","C14 의복, 의복 액세서리 및 모피제품 제조업","2024. 2/2","4841","240","239","1","27","27",".6",
"전국","5규모(300인이상)","C15 가죽, 가방 및 신발 제조업","2024. 1/2","0","0","0","0","0","0","0",
"전국","5규모(300인이상)","C15 가죽, 가방 및 신발 제조업","2024. 2/2","0","0","0","0","0","0","0",
"전국","5규모(300인이상)","C16 목재 및 나무제품 제조업; 가구 제외","2024. 1/2","495","20","20","0","0","0","0",
"전국","5규모(300인이상)","C16 목재 및 나무제품 제조업; 가구 제외","2024. 2/2","513","24","24","0","0","0","0",
"전국","5규모(300인이상)","C17 펄프, 종이 및 종이제품 제조업","2024. 1/2","2909","31","30","1","9","8",".3",
"전국","5규모(300인이상)","C17 펄프, 종이 및 종이제품 제조업","2024. 2/2","2927","33","31","2","13","13",".4",
"전국","5규모(300인이상)","C18 인쇄 및 기록매체 복제업","2024. 1/2","0","0","0","0","0","0","0",
"전국","5규모(300인이상)","C18 인쇄 및 기록매체 복제업","2024. 2/2","0","0","0","0","0","0","0",
"전국","5규모(300인이상)","C19 코크스, 연탄 및 석유정제품 제조업","2024. 1/2","10403","252","252","0","133","363","1.3",
"전국","5규모(300인이상)","C19 코크스, 연탄 및 석유정제품 제조업","2024. 2/2","10728","346","346","0","93","111",".9",
"전국","5규모(300인이상)","C20 화학 물질 및 화학제품 제조업; 의약품 제외","2024. 1/2","31050","949","922","27","308","369","1",
"전국","5규모(300인이상)","C20 화학 물질 및 화학제품 제조업; 의약품 제외","2024. 2/2","31538","688","658","30","287","362",".9",
"전국","5규모(300인이상)","C21 의료용 물질 및 의약품 제조업","2024. 1/2","20517","1069","981","88","852","785","4",
"전국","5규모(300인이상)","C21 의료용 물질 및 의약품 제조업","2024. 2/2","21168","1257","1125","132","440","579","2",
"전국","5규모(300인이상)","C22 고무 및 플라스틱제품 제조업","2024. 1/2","23102","408","382","26","100","97",".4",
"전국","5규모(300인이상)","C22 고무 및 플라스틱제품 제조업","2024. 2/2","23592","392","345","47","137","270",".6",
