"시도별(17개)","규모별","직종별","시점","현원[명]","구인인원[명]","채용인원[명]","미충원인원[명]","부족인원[명]","채용계획인원[명]","부족률[%]",
"전국","5규모(300인이상)","01 관리직(임원ㆍ부서장)","2024. 1/2","52300","643","616","27","167","171",".3",
"전국","5규모(300인이상)","01 관리직(임원ㆍ부서장)","2024. 2/2","52491","445","414","31","103","103",".2",
"전국","5규모(300인이상)","02 경영ㆍ행정ㆍ사무직","2024. 1/2","579382","29466","27373","2093","9046","9946","1.5",
"전국","5규모(300인이상)","02 경영ㆍ행정ㆍ사무직","2024. 2/2","587042","32045","27133","4912","10608","11086","1.8",
"전국","5규모(300인이상)","03 금융ㆍ보험직","2024. 1/2","68740","2742","2689","53","1421","1578","2",
"전국","5규모(300인이상)","03 금융ㆍ보험직","2024. 2/2","68158","3282","3098","184","1659","1769","2.4",
"전국","5규모(300인이상)","011 의회의원ㆍ고위공무원 및 기업 고위 임원","2024. 1/2","4330","82","81","1","5","12",".1",
"전국","5규모(300인이상)","011 의회의원ㆍ고위공무원 및 기업 고위 임원","2024. 2/2","4462","34","33","1","9","9",".2",
"전국","5규모(300인이상)","012 행정ㆍ경영ㆍ금융ㆍ보험 관리자","2024. 1/2","24875","364","346","18","81","84",".3",
"전국","5규모(300인이상)","012 행정ㆍ경영ㆍ금융ㆍ보험 관리자","2024. 2/2","25153","231","218","13","35","36",".1",
"전국","5규모(300인이상)","013 전문서비스 관리자","2024. 1/2","10098","82","78","4","13","14",".1",
"전국","5규모(300인이상)","013 전문서비스 관리자","2024. 2/2","10701","86","79","7","9","9",".1",
"전국","5규모(300인이상)","014 미용ㆍ여행ㆍ숙박ㆍ음식ㆍ경비ㆍ청소 관리자","2024. 1/2","480","7","7","0","3","3",".6",
"전국","5규모(300인이상)","014 미용ㆍ여행ㆍ숙박ㆍ음식ㆍ경비ㆍ청소 관리자","2024. 2/2","497","7","7","0","2","2",".4",
"전국","5규모(300인이상)","015 영업ㆍ판매ㆍ운송 관리자","2024. 1/2","4975","36","33","3","25","25",".5",
