직업코드,직업명,조사년도,총 구인인원
011,의회의원ㆍ고위공무원 및 기업 고위 임원,2023,188
012,행정ㆍ경영ㆍ금융ㆍ보험 관리자,2023,1246
013,전문서비스 관리자,2023,648
014,미용ㆍ여행ㆍ숙박ㆍ음식ㆍ경비ㆍ청소 관리자,2023,74
015,영업ㆍ판매ㆍ운송 관리자,2023,505
016,건설ㆍ채굴ㆍ제조ㆍ생산 관리자,2023,1254
021,정부ㆍ공공 행정 전문가,2023,0
022,경영ㆍ인사 전문가,2023,2996
023,회계ㆍ세무ㆍ감정 전문가,2023,2380
024,광고ㆍ조사ㆍ상품기획ㆍ행사기획 전문가,2023,5800
025,정부ㆍ공공 행정 사무원,2023,1754
026,경영지원 사무원,2023,92304
027,회계ㆍ경리 사무원,2023,32446
028,무역ㆍ운송ㆍ생산ㆍ품질 사무원,2023,48346
029,안내ㆍ고객상담ㆍ통계ㆍ비서ㆍ사무보조 및 기타 사무원,2023,79779
031,금융ㆍ보험 전문가,2023,3168
032,금융ㆍ보험 사무원,2023,13423
033,금융ㆍ보험 영업원,2023,3438
110,인문ㆍ사회과학 연구원,2023,3891
121,자연과학 연구원 및 시험원,2023,4111
122,생명과학 연구원 및 시험원,2023,5439
131,컴퓨터 하드웨어ㆍ통신공학 기술자,2023,2822
132,컴퓨터시스템 전문가,2023,1423
133,소프트웨어 개발자,2023,40532
134,데이터ㆍ네트워크 및 시스템 운영 전문가,2023,10711
135,정보보안 전문가,2023,2025
136,통신ㆍ방송송출 장비 기사,2023,174
140,건축ㆍ토목 공학 기술자 및 시험원,2023,39689
151,기계ㆍ로봇공학 기술자 및 시험원,2023,15794
152,금속ㆍ재료공학 기술자 및 시험원,2023,2507
153,전기ㆍ전자공학 기술자 및 시험원,2023,18251
154,화학공학 기술자 및 시험원,2023,5949
155,에너지ㆍ환경공학 기술자 및 시험원,2023,4166
156,섬유공학 기술자 및 시험원,2023,411
157,식품공학 기술자 및 시험원,2023,1454
158,소방ㆍ방재ㆍ산업안전ㆍ비파괴 기술자,2023,12922
159,제도사 및 기타 인쇄ㆍ목재 등 공학 기술자 및 시험원,2023,4378
211,대학교수 및 강사,2023,37167
212,학교 교사,2023,15485
213,유치원 교사,2023,8326
214,문리ㆍ기술ㆍ예능 강사,2023,18539
215,장학관 및 기타 교육 종사자,2023,18695
221,법률 전문가,2023,2107
222,법률 사무원,2023,3197
231,사회복지사 및 상담사,2023,21090
232,보육교사 및 기타 사회복지 종사자,2023,56260
233,성직자 및 기타 종교 종사자,2023,536
240,"경찰관, 소방관 및 교도관",2023,41
250,군인,2023,0
301,"의사, 한의사 및 치과의사",2023,13709
302,수의사,2023,251
303,약사 및 한약사,2023,2459
304,간호사,2023,44971
305,영양사,2023,2944
306,의료기사ㆍ치료사ㆍ재활사,2023,24447
307,보건ㆍ의료 종사자,2023,39086
411,작가ㆍ통번역가,2023,2031
412,기자 및 언론 전문가,2023,2253
